,Crime ID,Month,LSOA code,Crime type,Ward
2360,3eb3a894c9e203c8045e7058d2af7d3021d8525937fb31e159f359e62c35f541,2013-01,E01000171,Burglary,East Barnet
2361,50306f270e9b72df08ead780a39634a4f90ce948e4b0e057c30b42c2f7ab45d8,2013-01,E01000171,Burglary,East Barnet
2362,58122ccba341c540fa7848dfc46c158c7a9f1a513491b6f94fd8b647acda3e23,2013-01,E01000171,Burglary,East Barnet
2363,091b3a382f82227489f06d7f09241acbe470fb8ea109387374b4b13a2dc3511b,2013-01,E01000171,Burglary,East Barnet
2364,a0825176eacc5e5cf9aec953328306cc96a0f74f6cf08c40744ce3ae688eabc8,2013-01,E01000171,Burglary,East Barnet
2365,28345e8ee4724f9c592609e7f60771e93f4d8237dc868194f38ecbb8efa2f878,2013-01,E01000171,Burglary,East Barnet
2388,202002e051e7fe1111126bfae2ed7be923a7730d09c4f0216ffe27935b87fb74,2013-01,E01000173,Burglary,East Barnet
2413,bc16ddc07958bd6595dfc28904697ff825a6201d26e6539cce94d7202686f737,2013-01,E01000175,Burglary,East Barnet
2442,1e2367c9d8886f78e7b77a1cbc5736aec295b05acd1b205a9f3ea942b9fefc6f,2013-01,E01000279,Burglary,Totteridge
2447,2c6388bc4bb5588c897e42390f68ffe57bfb44f03f7217220f98de705f226dea,2013-01,E01000280,Burglary,Totteridge
2448,5bcf5e5a78b4f464df7902b2a101c38104fda5816a45e000afc132261797e38d,2013-01,E01000280,Burglary,Totteridge
2449,2c9f68755301356fddcb6a7e903bff15d34aebcea9e8b7a8a3690584798e2717,2013-01,E01000280,Burglary,Totteridge
2450,d18b2a85e7e9f542dbfd7e0c7ea3b86cf2a929440ba0c1d2f3608aa7dbe2f271,2013-01,E01000280,Burglary,Totteridge
2456,6d35f4e49dcda0b9b39996f91e24635bdfa9cfb6457f2cf7aa8f65650d8e6aab,2013-01,E01000286,Burglary,Underhill
2466,526c8ac2c20b7bb146355d240f812543c1580c93e092a4d6126be5c70c3466b4,2013-01,E01000290,Burglary,Underhill
2470,cbfa03c752aa723ffdbacc309e08636bd46ee418db623c899e5d4b66b0f840ef,2013-01,E01000271,Burglary,Oakleigh
2471,86503dd7d7de8f8bc1fb0e4ad74b4e7e3c5e18af2076983a1c0d05d972781fd5,2013-01,E01000271,Burglary,Oakleigh
2472,74858a8a0d3e9fe5432c7d4690535f0134cc86bdbe92c9470e7443eaa1194898,2013-01,E01000271,Burglary,Oakleigh
2473,818cde90393c9a44a3d2514f78034d5f68b7dd38c7b44f9685c5f55d85505bf5,2013-01,E01000271,Burglary,Oakleigh
2492,94e8d066eb79906077923001405fb305361a65c459113fbd751ca7d81bf74e4c,2013-01,E01000281,Burglary,Totteridge
2493,fc0cccf775a97c3967e2bae9feea3759f22fda69b11cee89fd54b9ccc30452a0,2013-01,E01000281,Burglary,Totteridge
2522,c2980303016793cbb672c525fbd2478f5a3f13358d9abf593cc23c7e27b8e11c,2013-01,E01000282,Burglary,Totteridge
2523,b181ed2d3d9a8a35b7f71f571e35dab264b1b9da1ff050e0836e3ebeb327579b,2013-01,E01000282,Burglary,Totteridge
2533,139181d2021ec3bad7d8ec882bb5bd0b01effb34fefe84e751529f79ff6529eb,2013-01,E01000116,Burglary,Brunswick Park
2536,b0cf7ab4e7ac34a059ee7c6a79fa8fa66498ada91afa3b64f966ecaf061fae52,2013-01,E01000119,Burglary,Brunswick Park
2537,c62e466eb92f026aa5ed3522e327fb6152aaf9557c26a893e913d646642cc72c,2013-01,E01000119,Burglary,Brunswick Park
2538,3c9e17f2fd5769ca7993441314e0370975e4a644bde27deab499c73c832d0e88,2013-01,E01000119,Burglary,Brunswick Park
2539,d5bc877531174f1046530b7459091bd5db331819eae099264b39a742eeee78c0,2013-01,E01000119,Burglary,Brunswick Park
2549,9238aa4e88eb9ed05201af33fd32703a47a1e7ac9e110cd57f125932443449c2,2013-01,E01000120,Burglary,Brunswick Park
2553,f63df8fefd2f2349cc9bc3bf1cd15c225d670616a618c4b4be6298f4daf27d23,2013-01,E01000122,Burglary,Brunswick Park
2554,4c86f12c4da6d5a6ff513049f926716bec20c842eb3ac00842649ee9c9f578f8,2013-01,E01000122,Burglary,Brunswick Park
2555,d2f691722727fe5b6d34c2096677458ac382323a66e917da70e374fc6c4bf3b9,2013-01,E01000122,Burglary,Brunswick Park
2567,7816e40c691a52e7be2827be152e9ab2884f64815f9a10aa536cc16639872081,2013-01,E01000117,Burglary,Brunswick Park
2573,7d82aabcedecc34b2cfa593832e74f065ffddb2e4c5778f82a39d593c4f12c72,2013-01,E01000118,Burglary,Brunswick Park
2574,df7cad40e6ba69a07a0369a4a86289cd4b376851406787bbdc0cb08cb7d920ba,2013-01,E01000118,Burglary,Brunswick Park
2575,6f80d2b5118bc44aec6598d8724020b505f3291a7adcfadbdee4c354aa892943,2013-01,E01000118,Burglary,Brunswick Park
2587,4ddc6b53a821847dce5a6ca99e12ec0de79287b6af1cbb0e2f0d02aca7ab6470,2013-01,E01000121,Burglary,Brunswick Park
2594,5a2df9832cb80ad522bf19cff625890b801c5adc863da45102d7d361d518a30d,2013-01,E01000123,Burglary,Brunswick Park
2595,bfc089916ba22e0d6cb5ded334714dddbdfc82454a0412abe049605fb58f3830,2013-01,E01000123,Burglary,Brunswick Park
2596,6b83e472b9696ee97e9084e6876fe197581ded1345bdca4a5e93e191ee6e1d36,2013-01,E01000123,Burglary,Brunswick Park
2597,2a527eea5aeff8511275287df094d468f38cfc2df3d87a2d5518bd592460eb55,2013-01,E01000123,Burglary,Brunswick Park
2598,1e25f1bcd0bc3c7dfd1d726b719c8c267ac9d4a980c37760535cae4f4e93d09b,2013-01,E01000123,Burglary,Brunswick Park
2599,17b51303b9a3fc580c4fbd8d135d87d1dd9aee43800e613a7ac662dacaa9132d,2013-01,E01000123,Burglary,Brunswick Park
2600,775331a7cdb65006f41cd3c73081c4ce61ffd55931696537e83136b3fce38b5d,2013-01,E01000123,Burglary,Brunswick Park
2601,478b280396ac253c14adeb7a6349ffdb8625c221f46ab2af97108cf965a45806,2013-01,E01000123,Burglary,Brunswick Park
2610,cda7dac2bb4fc45cb3387783dc88439ea9412cb69e1b8acae3ead0e857296c48,2013-01,E01000124,Burglary,Brunswick Park
2611,b57b40d674de0d38511d04d8da66ade34743a47acc269af8b05a283a64fb06a4,2013-01,E01000124,Burglary,Brunswick Park
2612,70e7a6e7d58e9edcfce27f9d613f2077f852fb742f8d836460b6b041e955041e,2013-01,E01000124,Burglary,Brunswick Park
2613,1344ae5532c9814f7635a970ce38c5b60a0b05a8f3c985a22d6687018b59ccb0,2013-01,E01000124,Burglary,Brunswick Park
2614,1878dca34a7284f23a70fffae35b7e2416c67f7544b9619613cc884417f8e3a4,2013-01,E01000124,Burglary,Brunswick Park
2615,33693c964ece1fdea78d59207a9a3ca877f62c632bd30d23badefa13d9fa6214,2013-01,E01000124,Burglary,Brunswick Park
2635,47a143c91f7a75e543ce33caa843e33c11fb0f5e2a8acfe110a563dfe32038d1,2013-01,E01000265,Burglary,Oakleigh
2636,c323aa4c2a6fea3d4a4fcec6c5a253786e0aa62c0136d7fb81917a8fe2e1b6ec,2013-01,E01000265,Burglary,Oakleigh
2637,9f9839ef7d31c4e07412d3902812ce621510fb914fc5d163ea6ea5a628f95172,2013-01,E01000265,Burglary,Oakleigh
2638,2ba51127ef59d73e20162da54c0149415a6dfa3bf6b4d45055669ffdfa5d932d,2013-01,E01000265,Burglary,Oakleigh
2648,bef1c35ab42002289eb347f7d9e444005b330cc110f67fba3bc4787562d692db,2013-01,E01000266,Burglary,Oakleigh
2658,7f0c6bc8ed160e89e08b4cfa43c87824313bb920f4c690b9dc491d82291d529e,2013-01,E01000274,Burglary,Oakleigh
2659,4b9d5f1d08db98775ecc9f1aedb954b9c8c8ed90dc86e699478ec6c2dd516d25,2013-01,E01000274,Burglary,Oakleigh
2669,0f21511f5656676f25bd37e909a203967efb47f7a72919b03b394379eca9b053,2013-01,E01000322,Burglary,Woodhouse
2670,b7fc5a6f0f4c29942e163ab4aade44812e5b85db2d86f525052260bc32cbb219,2013-01,E01000322,Burglary,Woodhouse
2671,a645eecc60f77656d759c8b78bb2a811e3c767e2d681b798fedd94238b0e194d,2013-01,E01000322,Burglary,Woodhouse
2677,d28168cb5c4eaffd7ea28274fe28a677b7a9cb93c0f60d8ac648701fc0e27108,2013-01,E01000275,Burglary,Totteridge
2680,6c81f13b6c3dfcd9069da6edcb12b5223531125f3b39d7c3badb10efb759b023,2013-01,E01000277,Burglary,Totteridge
2693,eac86209daf09913bb164c8ea8a207a0f1edcf50dd6df455d08c9d80904c2bb0,2013-01,E01000284,Burglary,Totteridge
2694,140fff60598edef0aa2882ba9e50ff14730c93303db3d2f1b2e33971cb092331,2013-01,E01000284,Burglary,Totteridge
2704,42b008a7682736a8fadf0584c08333e992a107437e940c974d4ecd616cc35e8e,2013-01,E01000321,Burglary,Woodhouse
2705,10db685a025f088ff1269057413c04d27e437c26a32b1ff31200e1d8db7a373f,2013-01,E01000321,Burglary,Woodhouse
2719,4bb6c02339ad0bccec082a279846af90d54753afefaff13d30a479b26a41a859,2013-01,E01000195,Burglary,Edgware
2720,664767117084df5a0d10f66f05fa99529f45268e0d56341bbdba20bbf301546e,2013-01,E01000195,Burglary,Edgware
2731,96b896ecc64f50dcc3ff8ce833a68c4bf15ef6a1c33ed735b37797677e1cd7f3,2013-01,E01000231,Burglary,Hale
2732,69ce4d521605334e1cd3763808ed977b3a49032ca24d2a7b942f33da6be6714f,2013-01,E01000231,Burglary,Hale
2733,ff47b29bf4fae9a923ad81edf1acda93d165efe2d44c40987831984fd147cb4e,2013-01,E01000231,Burglary,Hale
2734,d23c260d3ff196483da497b791a9041b1ada55f99c4e9c2d258d1fe6539a42d8,2013-01,E01000231,Burglary,Hale
2735,13f892986a318bf3e519e3256c526c29fa8ae63625c5ac8c2d186b980bde57a8,2013-01,E01000231,Burglary,Hale
2749,edebc4127237372dc7dc881bd1bf29966cdbc0495be8e5a3d7c5b1b357b96ad8,2013-01,E01000232,Burglary,Hale
2750,c889db5dcc958450b36341e935a53412bf23b8423e2b14592f55e2477ef7a256,2013-01,E01000232,Burglary,Hale
2754,26c2c9e5ce1702614218d9bbae92b4c585892724331bac92f39210b05a0a1bae,2013-01,E01000233,Burglary,Hale
2755,2876799382d8a66afa2b04251a635f881098874829ccc6696e6f43ddf8b5cd97,2013-01,E01000233,Burglary,Hale
2756,30111859de6de061ef5a653fc1da615c254ff6123c5cbc06c54b3a2707b02ad4,2013-01,E01000233,Burglary,Hale
2757,347025fd6df5dbec5f52422ac2e410ab76690dd2e90074f661622a68731854bf,2013-01,E01000233,Burglary,Hale
2765,6dde54c883d187464efed9b44dfb61dde99538c809c855058d7c47e1537ed894,2013-01,E01000186,Burglary,Edgware
2766,b68bf4d741bd2c912c1e01caa0b5e5b38c62aab5ee8670cf9f060b924d6a18a8,2013-01,E01000186,Burglary,Edgware
2783,38d9b514c99c5bba68fdce4d777a2998a28916e97eae06a8b5ad934217f13b88,2013-01,E01000189,Burglary,Edgware
2803,4f299e2431e4e653e22bb6259d7cacd326089e7af894b7e5fd69da134bfb5dbd,2013-01,E01000190,Burglary,Edgware
2804,b222482327060e3a8b84e757d0c5ec6cb3dc1fb4741050275472ed8b6a8d8cda,2013-01,E01000190,Burglary,Edgware
2805,3b17624f5f2dec778db9e06f18efb22cdcc384e017f7f9e5987e9432ed425157,2013-01,E01000190,Burglary,Edgware
2810,2af637cbacff55f6e293cc5a88e3b2410a2912f5fcbe9424f68d370438f38b44,2013-01,E01000191,Burglary,Edgware
2811,dc3eb92b6c6e260d4f056cdc26aeb4b829a3682d28ee90a92be039f8d9072a94,2013-01,E01000191,Burglary,Edgware
2819,c1c42ae030fb95aa6cb67b820dfda547f42fc79d76898d117a81c328d949ca93,2013-01,E01000158,Burglary,Coppetts
2820,810d27e176a264f82671f38da92bbb31513b07d8c747405637d0637ba1a88e0d,2013-01,E01000158,Burglary,Coppetts
2821,9cc874b1fe8be5b5f65988a708c522eb98e8d1e554a3d98ea57e573ba5aa698e,2013-01,E01000158,Burglary,Coppetts
2822,65b3820da864f189fd041297c871d700b90a9dc657870c90d4bba835d73a01e6,2013-01,E01000158,Burglary,Coppetts
2832,439f4eec20b9c539f92e9ccf04d3700229b0787c7efea6de8adaa1ab62521f81,2013-01,E01000159,Burglary,Coppetts
2840,83d0ae495c253b1004bb0d6e0c7b601cd61882170b4efc9214f91ce6133a8e49,2013-01,E01000160,Burglary,Coppetts
2841,501843205056afa3c5e04240af879f0dcdd2633b7c99bf06b54bab045e7dc66e,2013-01,E01000160,Burglary,Coppetts
2854,3145636ca098fdc5a68e956c2b3a4e08681b307d8a2291840dac02a4423210e6,2013-01,E01000161,Burglary,Coppetts
2855,50e63a989c622830d26dee595323d4ced0a2c66416573e3b77e8f138988d8b88,2013-01,E01000161,Burglary,Coppetts
2856,a007b43bef02cbe3eefcce0e3a2c0fe65ff53efd7c089122ae50f606b257e0ec,2013-01,E01000161,Burglary,Coppetts
2857,89eca4bf7d78464c865ec12526e537743b0e8bdb93e5cb47093bcbb2f29025b0,2013-01,E01000161,Burglary,Coppetts
2858,55cabb6442eb984246f37ef86ae90576e33fede2e862f9a273a14c4e954c484c,2013-01,E01000161,Burglary,Coppetts
2869,67c27b48555136bed122d3c8f46cbcc693f754e03df19de727577e1eb9fadbfa,2013-01,E01000162,Burglary,Coppetts
2870,73b67a173f41746699b65cb48be9dded795462080bb735fddaad31c828c83bcd,2013-01,E01000162,Burglary,Coppetts
2871,0ded9cb586fdc2cae88bb2a3e2ea856c0ba74973fdf6f1146bea272f0c109626,2013-01,E01000162,Burglary,Coppetts
2872,37f9346f75c69d8a5c8c51184a634358be7b6cbbb742092eec2145cd10babf9b,2013-01,E01000162,Burglary,Coppetts
2873,4c96e40eca27ed59a1040fc06a0af8aea6390a55b2dce877d5f5b2682e4539c6,2013-01,E01000162,Burglary,Coppetts
2882,dc0c9abf5e04f42b89b278e26e5f94f8809cb231b0b047995afc7c749364a1a4,2013-01,E01000324,Burglary,Woodhouse
2891,eacabcfb75139e84c319d8b05a4473b72f5107669c1f3c27f84054e46f415e5c,2013-01,E01000256,Burglary,Mill Hill
2892,0c85a61e754be286fca661c44f2301d9919d37bd47dc8f574231d3a6defb599d,2013-01,E01000256,Burglary,Mill Hill
2893,4730c8b1fda3511181558475edfe4976aae9f045a744536dd094e2aca2ec98d0,2013-01,E01000256,Burglary,Mill Hill
2894,5d37049782957759b1cbcfbef54a6b7f1159ff0fa4aebdb909ad9b2b18d804d5,2013-01,E01000256,Burglary,Mill Hill
2908,86b9879b2160c44cd3342a5d503d390f55d36509b6a3c1e5c9b29c2e91c198b5,2013-01,E01000258,Burglary,Mill Hill
2926,9a33348044e1967498b449fa718d659cd197b01b50125b7039f3ad7c4e875681,2013-01,E01000263,Burglary,Mill Hill
2927,75f3995d01933de51f18679e2c87e0cf2e8f65c3e2e32d2c6f5c289ee655b3c8,2013-01,E01000263,Burglary,Mill Hill
2928,3a8d867368bb8409a2a93ec7116e9c6c48d8ab98a41c8cc274ebee103418fa2e,2013-01,E01000263,Burglary,Mill Hill
2929,ad040a0aaa9ae08202b5768bdaa3ad5eeeef6ce2602873e81d76b440ee5e2ef2,2013-01,E01000263,Burglary,Mill Hill
2935,456920fa682f749940a2b9297816a2dd92b5045a3920d83572f6b71b33000b33,2013-01,E01000264,Burglary,Mill Hill
2936,90369c3dd68e4aadb6dbbbf7fe9ab5402681f23354e131bf0311145a4664dbef,2013-01,E01000264,Burglary,Mill Hill
2937,4c9418c181fbcc37ce6fc80d550062e0d2f295dd02c1a0c0c550bcd781cb05cb,2013-01,E01000264,Burglary,Mill Hill
2938,47e28ae2ca054f902a52ed191038c4aa5f9072b44d36ff34fbef1f29032094cd,2013-01,E01000264,Burglary,Mill Hill
2939,b2b60f43a307f7b49a5aa245ddcea0947a00b02aa1c5d54166ca38fb3b924535,2013-01,E01000264,Burglary,Mill Hill
2950,1e717026d25d2de017ca0b45c061fc7d570f39870001e607cbf2a1834657eb16,2013-01,E01000255,Burglary,Mill Hill
2951,aa2cf57df901fe302c5e18f8b73c81e94ff5285efb1bb76bfc72bb168f2ae40c,2013-01,E01000255,Burglary,Mill Hill
2952,baf00e6a92266a8a42eba8da2b67fee1b1300dbea90eba6f7c6b70a763f3f821,2013-01,E01000255,Burglary,Mill Hill
2953,a2ea68f36b4e787d10462350fce7835b9f40a228a8c732cea830610fef226d74,2013-01,E01000255,Burglary,Mill Hill
2954,b18390f9d0046dc4df723e0902bc1fd892853cc91df7f5e7f7f7c5e1b280d236,2013-01,E01000255,Burglary,Mill Hill
2981,c2aafc05a3bf77c0a0d64548d49c43a64be6d050ae96add949d08ce45710ec92,2013-01,E01000257,Burglary,Mill Hill
2982,4830bc0c418e6cf940ca71e5295c7c1a48aa249b3f6be6f64fd1fdb143e82b77,2013-01,E01000257,Burglary,Mill Hill
2983,fdd98c9f93f330eb480fe03ca35702cd3b19d2cada7738be5e3e3f78e6029bfb,2013-01,E01000257,Burglary,Mill Hill
2999,78151b09790c97095bc85373bd7c5d8fe9cb8b31116f640f4fb03a649388da14,2013-01,E01000261,Burglary,Mill Hill
3000,8553d14a9ca0ad166dd0f7e303bc33bbe0ec4348480f1bfdeaf98e1fa165771d,2013-01,E01000261,Burglary,Mill Hill
3001,b4b6896324388072a0c013f330a67856933efeb084e7cc5fe38af2d15da16584,2013-01,E01000261,Burglary,Mill Hill
3002,5cce0142e1876885688a8228e8115753f4d727d4f488b6a4c06e22800b86ccd5,2013-01,E01000261,Burglary,Mill Hill
3003,7709529ceeed8735c55d34504cb19e245522b2bd1f70def71f7b6d9563a475c6,2013-01,E01000261,Burglary,Mill Hill
3011,612d8ead787a00b8585aa121f411b2759032cbcf57ec36f81d0b3ceba5a17904,2013-01,E01000262,Burglary,Mill Hill
3012,95aa4c22a1aede8c2e17b5392da4d75cb2560ca712cff406d93d3c98553c3956,2013-01,E01000262,Burglary,Mill Hill
3013,6114a7abf372afc5c9748222d4e32bf3969007c21cbf36daff63c103754d403a,2013-01,E01000262,Burglary,Mill Hill
3014,846344a678507132b921996de683acf2e7e58bce94c4c0280e103613abf01709,2013-01,E01000262,Burglary,Mill Hill
3032,af1ccaa26f43012c4b9c78290485512ff59e84300d60427dadda483a5a124a92,2013-01,E01000192,Burglary,Edgware
3033,eb8f5de9a7617a759269aebc32bfd60f6ee536c16d0c915bebbfc0080b1ad41e,2013-01,E01000192,Burglary,Edgware
3051,7b8347afc52437270f83647a423e8141e8000dceb605e77757fcd2fd1360788f,2013-01,E01000193,Burglary,Edgware
3052,ff693e850241d514566a5dda5cf5ae21856fe0c16f7a638b94c5ae60070f17f2,2013-01,E01000193,Burglary,Edgware
3105,6e16e06ddc295d21035bdff3686b72ae2db79846d3737c561a27f6758311b00f,2013-01,E01000194,Burglary,Edgware
3106,775fa0bf235cec1abe590f10f6ea3b7c3dc0d0b7f63cd6b1ef43a3a0a9ca9966,2013-01,E01000194,Burglary,Edgware
3107,85b9142f620fe2057ff71e90d964cd1111e82b995c32cf00f7a25fb63f5d4b69,2013-01,E01000194,Burglary,Edgware
3108,f68b749dbe8a34b7f83f8a2142994cd39a743018d146ce9c09e09ebe8b241dd3,2013-01,E01000194,Burglary,Edgware
3122,d3c7cfc91b536a8d7c43e3d7282f4ec879cc842b3ba03b693f2551caceddf076,2013-01,E01000226,Burglary,Hale
3123,d9ce9f34dbdc3e51d8f34dfa940bc48bf7de26027443fc723620a63bf443f4c8,2013-01,E01000226,Burglary,Hale
3133,6c0ddf25cf5c8d3098c5ea0dd38a00b403ea81a82f7edb6d5cb12a0b8ff18420,2013-01,E01000227,Burglary,Hale
3134,1dd84a0db264ed0f54ef87a144c934ce8a27ddaba343d5b08f385f0fdab51612,2013-01,E01000227,Burglary,Hale
3135,d9b4248661cbfd112836b032da895c902fa82b3d71af3451277abdd9101c1a00,2013-01,E01000227,Burglary,Hale
3136,229d522f923624d9b1a4417d366298d988df64572b3fb5a91b5e4ed3cd9c866d,2013-01,E01000227,Burglary,Hale
3152,3d93bc60e8de16f91fc13079d2accc01e69695716fad558c528aa8b7b0189ffd,2013-01,E01000299,Burglary,West Finchley
3153,8ccfb3af79cd1c6b0316e4ae4270030b79d7a0c5a4e53641f9d2c180f8bf63f1,2013-01,E01000299,Burglary,West Finchley
3154,d0aed3c6d52358041649e4a9e131679b54a9bbeddf67e9de7dbec5781758d7f3,2013-01,E01000299,Burglary,West Finchley
3176,4d47d6eb8ef16353a6a37edd216475e96902328e1043977e799fdc32577aa547,2013-01,E01000300,Burglary,West Finchley
3177,2badb854d657dad4894f9609243ec91722f1cf97e1dd5ff3beb12ddc729b5bfa,2013-01,E01000300,Burglary,West Finchley
3178,f759b572aaa7a992c57a7ab37e219af9e9fa1632395b090ec160098ebf6e8e85,2013-01,E01000300,Burglary,West Finchley
3179,56ce53205be8305d995573ebe956d710c31e0a86fa1e1fe070ae42fa3caeab0a,2013-01,E01000300,Burglary,West Finchley
3186,28947ff9c203cee2dce98acaf28c619da8617cb1374be0bfa589012007638911,2013-01,E01000302,Burglary,West Finchley
3197,e6c802ad33d7555edbbea72ec1b9274754b75359b3dc06952b35325cd18963ec,2013-01,E01000317,Burglary,Woodhouse
3198,eca4c36734bac3db16a5e5ac14c88922815cdd80bfe8f46559301067c17fcad9,2013-01,E01000317,Burglary,Woodhouse
3199,79d801b146b4586bc51892a5a2eac2128bddf2cc9d84b05a519acebb0bb302d6,2013-01,E01000317,Burglary,Woodhouse
3223,a617a27eaea3ce68ff13216bd87fac38a2df7da299146526041a23061b56673f,2013-01,E01000323,Burglary,Woodhouse
3224,6096063b99e0815cbc937f7356664b8586cb0e8caab424fadc21bbea9940d5fc,2013-01,E01000323,Burglary,Woodhouse
3241,7426ba54eab9f97313e058b45a181f8e41e4ced708f031f24726c093459e9b39,2013-01,E01000276,Burglary,Totteridge
3248,d83e3ecc5283ee269cc5b96cb2ede921fcc67be1f6f00fa4d07b183e5bc506a3,2013-01,E01000278,Burglary,Totteridge
3259,90c58a5285fc80383d3aacad6cdc1467c576ad9f50ad5b023d55ec45debb3ec9,2013-01,E01000301,Burglary,West Finchley
3260,fd9664ccee875108548eb8235042aa4bb52a9b92220208f5ffb8d967ca3629af,2013-01,E01000301,Burglary,West Finchley
3261,e9c64b4f6c253c6d1161841427ff0d5f6abea699d45dddfe77afa023f3c49d3e,2013-01,E01000301,Burglary,West Finchley
3266,2212c23f2f035ef9bed527d12666a6714212bbb86416de398d5b46fa936eeee9,2013-01,E01000303,Burglary,West Finchley
3271,93f298cbef0ce43f521aab13123f83d5ea76d07030a1a4d3e809d7e29c113f9c,2013-01,E01000304,Burglary,West Finchley
3272,1d88e4e2ba96b5cfb8c1e1588be7796d5ccb14a31ea7ac5914f123ea883ea93e,2013-01,E01000304,Burglary,West Finchley
3273,3ba71174aafa92121f50aa8da6efc2e0f71a10957e32dbe90cbc799be5f53fc6,2013-01,E01000304,Burglary,West Finchley
3274,84e61cecd71b7e4d910d0bb0fb0133b4dac350c40de78cf25fa62c771231822e,2013-01,E01000304,Burglary,West Finchley
3289,44568a0070c19f4c09b76b145b8906e667f9a7b7167fe671f39f5de4b598fb3a,2013-01,E01000132,Burglary,Burnt Oak
3300,d484cdf74448dc0b0dcd6f69d8953094190455d9d6bcc3e0d798ff2b5c234342,2013-01,E01000133,Burglary,Burnt Oak
3310,c367c402488253e9564d4caab640ab6b097745d433cd934b0714808a9f946f4a,2013-01,E01000234,Burglary,Hale
3311,bd7196ff2f84bafc1f5ac2d5f6e72954209bb92aca50cb1b983c23103d22e60a,2013-01,E01000234,Burglary,Hale
3328,c2cfb72825e559f8aa420f7304f5ea061eac3b6ac8bc1ff07c660d6b72abb136,2013-01,E01000235,Burglary,Hale
3329,726fd6ba8dbdd523cf77a69cb161c351390334ee83e267ed63d4145fff49cbce,2013-01,E01000235,Burglary,Hale
3340,d354389255d9802d6a205bb4a97da562b3a7e092e74838368d69198db4bca9e9,2013-01,E01000156,Burglary,Coppetts
3341,20ca4c934090b7620c823f287d68fe0840fae5fb651061d3dc9929194a13036d,2013-01,E01000156,Burglary,Coppetts
3342,c90f95b3e35426b43ccb7d7652798ae1fce0fb4f44b8be3ee7d977dc05e2d170,2013-01,E01000156,Burglary,Coppetts
3343,36d80a991e55c18ac433ac3036f180469920171cf27323a4a7d5802c417d9de3,2013-01,E01000156,Burglary,Coppetts
3344,67cea04938e8257e30c25a944b76da644b08fdf56d27f3f2a8af64544b39ae3b,2013-01,E01000156,Burglary,Coppetts
3355,c5b650c0d39ab27f5b156a0aba0bc99dbb5aa00fd0556741b2c2fc4808d6dd7f,2013-01,E01000157,Burglary,Coppetts
3356,d9d3bc3d495748c1982358447dfda35272689dd170b022ea92e4a4107bfb88d0,2013-01,E01000157,Burglary,Coppetts
3357,9a6302e65cea312f2467b67dd4c6c5562405dfbb02183da937389b5e08476087,2013-01,E01000157,Burglary,Coppetts
3358,4d2682c7e6ab8fe07e098466bb47ea12affaecc5bf702abc1b8a0bc4c0432888,2013-01,E01000157,Burglary,Coppetts
3367,bef6101a981e433c1e9abe4ea554b2cd23feece508b2daec13a0247bdf4b72b3,2013-01,E01000163,Burglary,Coppetts
3368,75e7cb1d825a07c55be6ef3edebcd59e81dc2467517f3835a4fc0a75a47903d3,2013-01,E01000163,Burglary,Coppetts
3369,a41ceea794b6571a5f5b5c5b63510603357856794c70c5bb905a1bb94e3f23d2,2013-01,E01000163,Burglary,Coppetts
3370,076b86112e7e861da15b71d7f33430507b18f03453a7efc1c362f74cc996687c,2013-01,E01000163,Burglary,Coppetts
3390,3c23f35f2f2817d372a0e2b44adb2c8b303d6e1435cf6df145ba087d787d6cc5,2013-01,E01000164,Burglary,Coppetts
3391,3c76e998c1439f82a07c4966e04ddba23ee6de14b4e38c5fdee006d7b024a1b7,2013-01,E01000164,Burglary,Coppetts
3429,2313caf2111460b528d82d3869c6c095f98f8e3589232a11aaafe72e13539048,2013-01,E01000315,Burglary,Woodhouse
3430,fab009e19c3fd5de8402be457516b3ea43cf917577588b20660409af72d9058c,2013-01,E01000315,Burglary,Woodhouse
3431,c2fc59a115062138be899811e241ac5ff7a87fc2215db92ed38123b819e8ef45,2013-01,E01000315,Burglary,Woodhouse
3432,b2e73343c4ac00f87035401f46e12b0d320047c9588685a922a2198e086651b2,2013-01,E01000315,Burglary,Woodhouse
3445,e43b9637c358c8347f79d4a06249de4bcf9902074bccc69d9a18ea658491dbed,2013-01,E01000197,Burglary,Finchley Church End
3446,5e2e1ee2e02e87e9b18a11f873790c08ea864747c8f1804ee82a621089b78b20,2013-01,E01000197,Burglary,Finchley Church End
3453,279402136aea049852b06d595844c14f14ed107b9c12897b77ae06c83823f0dc,2013-01,E01000295,Burglary,West Finchley
3462,7777e90a91a0a45f62707a61dcd5b9ee4d0993b72b6464facf5527a23f5da4f9,2013-01,E01000296,Burglary,West Finchley
3463,b5f77c3cd948e027e08f98b95f998de43b1139ac577ad9fb3aa947558af85876,2013-01,E01000296,Burglary,West Finchley
3464,58844ca20f10de32f4f311c7ab47f54ff0eb5a2714b43e21e621f4d0d389ec7e,2013-01,E01000296,Burglary,West Finchley
3465,05fad782867ef1760b73f8c40772c94211bdaefe07ab88d5fc7e1b34b1c2a816,2013-01,E01000296,Burglary,West Finchley
3466,aa088dbdd4c45bb691fe11490ae579d8b541cd1489d74bfa298ef32ccd5d78df,2013-01,E01000296,Burglary,West Finchley
3467,1c4e058c790c1ae0ee48a01bb00884e29b3ea2ed167fcb2749e56d0f8f1c0b0f,2013-01,E01000296,Burglary,West Finchley
